Time:1,End Time,f001,Event Id,Event Date,Event Duration
83.2380,83.5380,2,,,
83.4720,83.7720,2,,,
83.7390,84.0390,1,,,
83.9720,84.2720,1,,,
84.2390,84.5390,2,,,
84.5060,84.8060,2,,,
84.7730,85.0730,1,,,
85.0060,85.3060,1,,,
85.2730,85.5730,2,,,
85.5570,85.8570,1,,,
85.7900,86.0900,1,,,
86.0070,86.3070,2,,,
86.2910,86.5910,2,,,
86.5410,86.8410,2,,,
86.7910,87.0910,1,,,
87.0410,87.3410,1,,,
87.2910,87.5910,1,,,
87.5420,87.8420,2,,,
87.7750,88.0750,2,,,
88.0250,88.3250,2,,,
88.2760,88.5760,1,,,
88.5090,88.8090,1,,,
88.7760,89.0760,2,,,
89.0090,89.3090,1,,,
89.2760,89.5760,1,,,
89.5100,89.8100,2,,,
89.7770,90.0770,2,,,
90.0100,90.3100,1,,,
90.2770,90.5770,1,,,
90.5440,90.8440,1,,,
90.7780,91.0780,1,,,
91.0280,91.3280,2,,,
91.2780,91.5780,1,,,
91.5620,91.8620,1,,,
91.7950,92.0950,1,,,
92.0450,92.3450,2,,,
92.3120,92.6120,1,,,
92.5460,92.8460,1,,,
92.8130,93.1130,2,,,
93.0630,93.3630,2,,,
93.3130,93.6130,1,,,
93.5630,93.8630,2,,,
93.7800,94.0800,1,,,
94.0470,94.3470,1,,,
94.2970,94.5970,2,,,
94.5470,94.8470,1,,,
94.8140,95.1140,2,,,
95.0810,95.3810,2,,,
95.3150,95.6150,2,,,
95.5480,95.8480,2,,,
95.8480,96.1480,2,,,
96.0820,96.3820,1,,,
96.3150,96.6150,2,,,
96.6160,96.9160,1,,,
96.8660,97.1660,2,,,
97.0830,97.3830,2,,,
97.3500,97.6500,2,,,
97.5830,97.8830,1,,,
97.8500,98.1500,2,,,
98.0830,98.3830,2,,,
98.3500,98.6500,2,,,
106.6570,106.9570,1,,,
106.9240,107.2240,1,,,
107.1910,107.4910,1,,,
107.4240,107.7240,2,,,
107.6910,107.9910,1,,,
107.9250,108.2250,1,,,
108.2080,108.5080,2,,,
108.4250,108.7250,2,,,
108.6920,108.9920,2,,,
108.9250,109.2250,2,,,
109.1920,109.4920,1,,,
109.4590,109.7590,2,,,
109.7260,110.0260,2,,,
109.9600,110.2600,2,,,
110.2270,110.5270,1,,,
110.4770,110.7770,1,,,
110.7270,111.0270,2,,,
110.9940,111.2940,1,,,
111.2270,111.5270,1,,,
111.4610,111.7610,1,,,
111.7280,112.0280,2,,,
111.9610,112.2610,2,,,
112.2280,112.5280,2,,,
112.4620,112.7620,2,,,
112.7290,113.0290,1,,,
112.9950,113.2950,1,,,
113.2290,113.5290,2,,,
